date,time,open,high,low,close,tick_volume,spread,real_volume
2023-01-18 23:50:00,1674053400,21415.938,21445.738,21391.338,21418.738,533,2424,0
2023-01-19 00:00:00,1674054000,21418.738,21558.667,21409.838,21498.838,652,2424,0
2023-01-19 00:10:00,1674054600,21498.838,21505.638,21420.938,21426.638,561,2424,0
2023-01-19 00:20:00,1674055200,21429.238,21453.738,21400.638,21425.938,523,2424,0
2023-01-19 00:30:00,1674055800,21427.738,21428.738,21296.438,21333.038,646,2424,0
2023-01-19 00:40:00,1674056400,21334.438,21356.838,21197.638,21211.638,728,2424,0
2023-01-19 00:50:00,1674057000,21211.206,21211.206,20826.938,21038.038,913,2424,0
2023-01-19 01:00:00,1674057600,21033.855,21038.346,20807.782,20916.138,906,2424,0
2023-01-19 01:10:00,1674058200,20919.44,20921.538,20811.438,20839.338,896,2424,0
2023-01-19 01:20:00,1674058800,20838.458,20838.458,20506.838,20674.038,910,2424,0
2023-01-19 01:30:00,1674059400,20668.838,20740.824,20558.138,20598.738,861,2424,0
2023-01-19 01:40:00,1674060000,20598.738,20668.738,20414.838,20560.838,899,2424,0
2023-01-19 01:50:00,1674060600,20559.094,20920.059,20510.838,20855.938,885,2424,0
2023-01-19 02:00:00,1674061200,20849.94,20997.421,20746.838,20979.738,918,2424,0
2023-01-19 02:10:00,1674061800,20980.638,21133.238,20920.838,20933.838,920,2424,0
2023-01-19 02:20:00,1674062400,20934.838,20951.238,20852.338,20923.738,858,2424,0
2023-01-19 02:30:00,1674063000,20923.138,21026.138,20872.238,20956.638,812,2424,0
2023-01-19 02:40:00,1674063600,20956.64,20973.738,20872.838,20912.297,715,2424,0
2023-01-19 02:50:00,1674064200,20913.638,20944.738,20851.838,20888.338,714,2424,0
2023-01-19 03:00:00,1674064800,20888.338,20917.738,20841.438,20848.848,639,2424,0
2023-01-19 03:10:00,1674065400,20849.238,20955.838,20848.838,20920.038,595,2424,0
2023-01-19 03:20:00,1674066000,20920.038,21055.238,20911.738,20994.338,666,2424,0
2023-01-19 03:30:00,1674066600,20995.238,21056.438,20844.238,20922.071,739,2424,0
2023-01-19 03:40:00,1674067200,20922.538,20981.738,20858.438,20928.138,758,2424,0
2023-01-19 03:50:00,1674067800,20928.138,20963.538,20910.838,20932.038,542,2424,0
2023-01-19 04:00:00,1674068400,20934.838,20948.538,20879.838,20924.638,552,2424,0
2023-01-19 04:10:00,1674069000,20924.638,20969.438,20911.89,20928.138,489,2424,0
2023-01-19 04:20:00,1674069600,20928.638,20968.738,20911.139,20964.238,451,2424,0
2023-01-19 04:30:00,1674070200,20963.738,20977.538,20928.956,20933.708,478,2424,0
2023-01-19 04:40:00,1674070800,20933.646,20953.038,20908.838,20909.238,409,2424,0
2023-01-19 04:50:00,1674071400,20909.238,20928.738,20891.138,20903.138,438,2424,0
2023-01-19 05:00:00,1674072000,20903.138,20922.778,20859.838,20906.638,502,2424,0
2023-01-19 05:10:00,1674072600,20906.638,20936.538,20878.838,20892.161,434,2424,0
2023-01-19 05:20:00,1674073200,20892.138,20892.738,20821.538,20863.813,558,2424,0
2023-01-19 05:30:00,1674073800,20862.592,20863.138,20668.638,20712.001,751,2424,0
2023-01-19 05:40:00,1674074400,20712.238,20779.738,20698.838,20698.838,706,2424,0
2023-01-19 05:50:00,1674075000,20698.838,20769.038,20695.238,20729.725,575,2424,0
2023-01-19 06:00:00,1674075600,20731.538,20799.538,20714.838,20799.438,451,2424,0
2023-01-19 06:10:00,1674076200,20799.438,20838.638,20764.987,20812.221,520,2424,0
2023-01-19 06:20:00,1674076800,20812.096,20812.951,20733.438,20756.238,550,2424,0
2023-01-19 06:30:00,1674077400,20756.238,20800.499,20735.838,20784.938,439,2424,0
2023-01-19 06:40:00,1674078000,20784.938,20808.738,20771.75,20774.138,356,2424,0
2023-01-19 06:50:00,1674078600,20774.138,20798.738,20768.838,20779.538,382,2424,0
2023-01-19 07:00:00,1674079200,20779.538,20779.538,20710.038,20724.038,277,2424,0
2023-01-19 07:10:00,1674079800,20723.038,20746.438,20638.691,20702.338,540,2424,0
2023-01-19 07:20:00,1674080400,20702.338,20754.038,20686.138,20739.638,470,2424,0
2023-01-19 07:30:00,1674081000,20739.638,20786.738,20726.338,20752.138,318,2424,0
2023-01-19 07:40:00,1674081600,20752.138,20805.038,20736.948,20789.138,210,2424,0
2023-01-19 07:50:00,1674082200,20789.138,20816.838,20780.938,20810.638,244,2424,0
2023-01-19 08:00:00,1674082800,20809.093,20818.738,20768.338,20775.638,254,2424,0
2023-01-19 08:10:00,1674083400,20775.638,20778.338,20737.838,20763.238,213,2424,0
2023-01-19 08:20:00,1674084000,20763.238,20766.738,20732.338,20743.664,301,2424,0
2023-01-19 08:30:00,1674084600,20744.638,20757.838,20703.938,20711.838,387,2424,0
2023-01-19 08:40:00,1674085200,20711.838,20730.038,20672.818,20698.945,537,2424,0
2023-01-19 08:50:00,1674085800,20698.938,20754.338,20653.338,20678.838,627,2424,0
2023-01-19 09:00:00,1674086400,20678.838,20737.438,20665.613,20729.738,529,2424,0
2023-01-19 09:10:00,1674087000,20729.738,20768.097,20722.238,20743.338,371,2424,0
2023-01-19 09:20:00,1674087600,20745.738,20758.638,20681.045,20713.938,355,2424,0
2023-01-19 09:30:00,1674088200,20713.938,20745.438,20693.438,20745.338,308,2424,0
2023-01-19 09:40:00,1674088800,20745.338,20747.738,20716.051,20735.138,224,2424,0
2023-01-19 09:50:00,1674089400,20735.138,20735.138,20689.235,20697.838,259,2424,0
2023-01-19 10:00:00,1674090000,20697.838,20737.038,20679.838,20716.238,242,2424,0
2023-01-19 10:10:00,1674090600,20716.238,20765.338,20711.462,20760.919,224,2424,0
2023-01-19 10:20:00,1674091200,20761.638,20778.838,20748.838,20771.038,286,2424,0
2023-01-19 10:30:00,1674091800,20772.538,20778.738,20741.438,20753.338,172,2424,0
2023-01-19 10:40:00,1674092400,20753.338,20758.738,20719.755,20728.438,212,2424,0
2023-01-19 10:50:00,1674093000,20728.438,20728.438,20702.138,20718.738,235,2424,0
2023-01-19 11:00:00,1674093600,20718.738,20733.738,20690.738,20698.038,217,2424,0
2023-01-19 11:10:00,1674094200,20695.438,20712.138,20658.938,20700.547,289,2424,0
2023-01-19 11:20:00,1674094800,20700.549,20746.538,20694.838,20744.838,226,2424,0
2023-01-19 11:30:00,1674095400,20744.838,20778.738,20736.564,20750.738,234,2424,0
2023-01-19 11:40:00,1674096000,20750.738,20767.738,20743.15,20767.738,175,2424,0
2023-01-19 11:50:00,1674096600,20767.738,20767.738,20748.938,20765.138,117,2424,0
2023-01-19 12:00:00,1674097200,20765.138,20793.138,20754.338,20762.338,206,2424,0
2023-01-19 12:10:00,1674097800,20762.338,20791.838,20760.738,20779.038,171,2424,0
2023-01-19 12:20:00,1674098400,20779.038,20819.348,20777.538,20794.238,268,2424,0
2023-01-19 12:30:00,1674099000,20794.238,20796.938,20753.538,20761.238,201,2424,0
2023-01-19 12:40:00,1674099600,20761.238,20793.738,20752.838,20781.138,156,2424,0
2023-01-19 12:50:00,1674100200,20781.138,20784.738,20744.638,20747.638,189,2424,0
2023-01-19 13:00:00,1674100800,20747.638,20785.538,20743.938,20782.138,171,2424,0
2023-01-19 13:10:00,1674101400,20783.638,20797.838,20774.507,20784.538,192,2424,0
2023-01-19 13:20:00,1674102000,20784.538,20837.738,20784.538,20826.038,191,2424,0
2023-01-19 13:30:00,1674102600,20826.038,20876.038,20813.738,20836.438,327,2424,0
2023-01-19 13:40:00,1674103200,20836.438,20836.438,20805.938,20814.638,217,2424,0
2023-01-19 13:50:00,1674103800,20814.638,20836.338,20807.238,20811.338,155,2424,0
2023-01-19 14:00:00,1674104400,20811.338,20840.838,20805.144,20833.877,140,2424,0
2023-01-19 14:10:00,1674105000,20833.738,20850.838,20831.038,20832.936,186,2424,0
2023-01-19 14:20:00,1674105600,20832.838,20835.538,20813.655,20819.438,174,2424,0
2023-01-19 14:30:00,1674106200,20819.438,20822.538,20799.538,20799.838,206,2424,0
2023-01-19 14:40:00,1674106800,20799.438,20810.538,20794.838,20802.538,122,2424,0
2023-01-19 14:50:00,1674107400,20802.538,20815.238,20802.538,20813.638,97,2424,0
2023-01-19 15:00:00,1674108000,20813.638,20837.938,20798.738,20837.938,179,2424,0
2023-01-19 15:10:00,1674108600,20837.938,20837.938,20801.238,20803.038,195,2424,0
2023-01-19 15:20:00,1674109200,20803.038,20837.738,20800.938,20829.838,134,2424,0
2023-01-19 15:30:00,1674109800,20829.838,20852.938,20829.838,20839.738,178,2424,0
2023-01-19 15:40:00,1674110400,20838.801,20856.338,20831.838,20851.238,120,2424,0
2023-01-19 15:50:00,1674111000,20851.238,20852.838,20824.338,20827.338,178,2424,0
2023-01-19 16:00:00,1674111600,20827.338,20844.438,20822.987,20840.238,140,2424,0
2023-01-19 16:10:00,1674112200,20840.238,20840.238,20824.138,20824.138,148,2424,0
2023-01-19 16:20:00,1674112800,20823.848,20839.738,20811.738,20826.638,179,2424,0
2023-01-19 16:30:00,1674113400,20826.638,20832.838,20802.538,20804.238,150,2424,0
2023-01-19 16:40:00,1674114000,20804.238,20834.738,20804.089,20823.738,186,2424,0
2023-01-19 16:50:00,1674114600,20823.738,20828.738,20808.862,20816.938,136,2424,0
2023-01-19 17:00:00,1674115200,20816.938,20843.238,20811.338,20841.638,184,2424,0
2023-01-19 17:10:00,1674115800,20841.638,20846.738,20785.438,20795.061,242,2424,0
2023-01-19 17:20:00,1674116400,20795.038,20814.838,20779.338,20801.138,259,2424,0
2023-01-19 17:30:00,1674117000,20801.138,20817.038,20775.538,20812.438,143,2424,0
2023-01-19 17:40:00,1674117600,20812.438,20815.938,20783.838,20785.738,163,2424,0
2023-01-19 17:50:00,1674118200,20785.738,20791.738,20761.2,20768.838,240,2424,0
2023-01-19 18:00:00,1674118800,20768.838,20780.738,20758.938,20760.738,157,2424,0
2023-01-19 18:10:00,1674119400,20760.738,20784.638,20760.738,20780.638,187,2424,0
2023-01-19 18:20:00,1674120000,20780.638,20797.138,20759.738,20763.338,180,2424,0
2023-01-19 18:30:00,1674120600,20763.338,20798.738,20731.649,20795.838,291,2424,0
2023-01-19 18:40:00,1674121200,20795.838,20801.494,20782.138,20798.638,166,2424,0
2023-01-19 18:50:00,1674121800,20798.638,20809.638,20779.838,20796.038,167,2424,0
2023-01-19 19:00:00,1674122400,20796.038,20800.538,20787.638,20795.038,139,2424,0
2023-01-19 19:10:00,1674123000,20795.038,20801.438,20784.338,20786.038,108,2424,0
2023-01-19 19:20:00,1674123600,20786.038,20786.038,20760.838,20760.838,161,2424,0
2023-01-19 19:30:00,1674124200,20760.838,20773.738,20753.238,20761.638,193,2424,0
2023-01-19 19:40:00,1674124800,20761.338,20776.738,20755.677,20776.138,133,2424,0
2023-01-19 19:50:00,1674125400,20776.138,20798.538,20772.138,20796.338,77,2424,0
2023-01-19 20:00:00,1674126000,20796.338,20799.538,20764.838,20768.038,147,2424,0
